1,20,3.473134
1,33,3.544005
1,61,3.889049
1,117,3.717722
1,155,3.082744
1,160,3.511339
1,171,4.006898
1,189,4.175837
1,202,3.862014
1,265,3.959316
2,13,3.649916
2,50,4.472114
2,251,4.469440
2,280,3.181186
2,281,3.387458
2,290,3.366127
2,292,3.976585
2,297,4.047917
2,312,3.409978
2,314,2.060227
3,245,2.358373
3,294,2.461125
3,323,2.285195
3,328,2.851265
3,331,2.794816
3,332,2.805679
3,334,2.831974
3,335,1.883872
3,337,2.570414
3,343,2.404974
4,50,5.033408
4,260,3.484484
4,264,3.648635
4,288,4.291940
4,294,3.947867
4,303,4.627329
4,354,4.268392
4,356,4.001644
4,357,5.144747
4,361,4.116330
5,1,3.151876
5,2,2.646729
5,17,2.614497
5,98,3.606176
5,110,2.154270
5,225,2.315303
5,363,2.377609
5,424,0.985013
5,439,1.144338
5,454,2.297658
6,14,3.983403
6,23,4.165769
6,69,3.803950
6,86,3.926537
6,98,4.279001
6,258,3.688240
6,301,3.414317
6,463,3.830673
6,492,3.771030
6,517,3.814061
7,32,4.128190
7,163,3.960072
7,382,3.979242
7,430,4.363523
7,455,3.762681
7,479,4.542968
7,492,4.094086
7,497,4.098026
7,648,4.384811
7,661,4.420976
8,22,4.402435
8,50,4.786808
8,79,4.431484
8,89,4.539997
8,182,4.339015
8,294,3.459746
8,338,2.978576
8,385,3.898026
8,457,2.186858
8,550,3.740556
9,6,4.219027
9,286,4.127560
9,298,4.362649
9,340,4.306547
9,479,4.818916
9,487,4.555607
9,507,4.344051
9,521,4.385141
9,527,4.617764
9,691,4.194566
10,7,4.393342
10,16,4.097341
10,100,4.877255
10,175,4.357912
10,285,4.882420
10,461,4.241414
10,486,4.377566
10,488,4.741217
10,504,4.476902
10,611,4.616735
11,38,2.874814
11,110,2.638414
11,111,3.389980
11,227,3.239551
11,425,3.655665
11,558,3.638922
11,723,3.108032
11,725,2.856016
11,732,3.600977
11,740,3.363405
12,82,4.595328
12,96,4.866535
12,97,4.615582
12,132,4.741213
12,143,4.567388
12,172,4.933707
12,204,4.727143
12,300,4.591323
12,471,4.409305
12,735,4.755397
13,56,3.548822
13,98,3.874006
13,186,3.376108
13,198,3.543052
13,215,3.264868
13,272,3.838500
13,344,3.269847
13,360,2.586520
13,526,3.416156
13,836,3.154511
14,22,4.666240
14,98,4.736918
14,111,3.936656
14,174,4.692912
14,213,4.378408
14,269,4.467569
14,357,4.849780
14,474,4.845165
14,530,4.506743
14,709,4.493406
15,25,2.852809
15,127,3.666874
15,222,3.065734
15,331,2.961232
15,405,2.628899
15,473,2.641860
15,678,2.155402
15,685,2.674224
15,749,2.837771
15,932,2.289541
16,8,4.776382
16,55,4.564690
16,64,5.290523
16,89,4.935074
16,178,5.048521
16,194,4.865213
16,197,4.774663
16,209,4.639904
16,705,4.654331
16,944,3.909182
17,1,3.439680
17,9,3.594519
17,13,3.183524
17,117,3.214206
17,125,3.070564
17,151,3.351312
17,237,3.340317
17,245,2.688112
17,508,3.406747
17,744,3.221155
18,26,3.683653
18,86,4.181477
18,113,4.515162
18,182,4.256862
18,202,3.949888
18,408,4.820225
18,443,4.167533
18,496,4.367148
18,729,3.737613
18,950,3.334297
19,4,3.576696
19,153,3.920925
19,201,3.608318
19,258,3.915549
19,310,3.755483
19,313,4.242595
19,382,3.668880
19,435,4.034012
19,655,3.817041
19,692,3.587918
20,11,3.481906
20,118,2.941436
20,172,3.955696
20,176,3.677064
20,186,3.473473
20,194,3.722274
20,208,3.606913
20,288,2.992823
20,405,3.042036
20,678,2.526081
21,103,1.243688
21,129,2.941852
21,164,2.701093
21,222,2.695216
21,324,2.296595
21,370,1.777731
21,440,1.233919
21,447,2.701561
21,558,2.771169
21,948,1.602159
22,79,3.866267
22,80,2.676073
22,128,3.469632
22,241,3.417045
22,258,3.778984
22,376,2.799685
22,377,2.321021
22,510,3.680584
22,511,3.967828
22,791,2.743871
23,170,4.152427
23,172,4.225154
23,196,3.917129
23,258,3.876887
23,323,2.979456
23,381,3.632802
23,385,3.638053
23,404,3.771181
23,463,3.912985
23,1006,2.826138
24,64,5.244449
24,129,4.662059
